City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,wattegama,6.7989,81.4808,295.36,96,97,1.85,LK,1675707678
280,teya,60.3778,92.6267,250.37,100,99,1.24,RU,1675707696
281,mazamitla,19.9167,-103.0333,296.06,22,12,0.44,MX,1675707696
282,itaituba,-4.2761,-55.9836,305.24,62,40,2.57,BR,1675707654
283,khash,28.2211,61.2158,285.23,38,0,0.14,IR,1675707696
284,innisfail,-17.5333,146.0333,298.82,88,60,2.77,AU,1675707697
285,terney,45.0503,136.6092,260.87,77,79,3.76,RU,1675707697
286,shimoda,34.6667,138.95,279.87,53,100,2.59,JP,1675707369
287,muyezerskiy,63.9333,31.65,257.96,99,87,1.56,RU,1675707698
288,khandyga,62.6667,135.6,234.42,100,100,0.1,RU,1675707698
289,kushiro,42.975,144.3747,265.59,90,76,2.27,JP,1675707698
290,pacifica,37.6138,-122.4869,285.6,73,75,4.12,US,1675707505
291,souillac,-20.5167,57.5167,300.36,78,40,3.09,MU,1675707341
292,chongwe,-15.3292,28.682,292.31,93,77,0.6,ZM,1675707699
293,blechepsin,44.8203,40.5003,271.49,81,100,8.55,RU,1675707699
294,dhidhdhoo,6.8833,73.1,300.26,75,82,3.74,MV,1675707590
295,vila velha,-20.3297,-40.2925,302.12,79,20,6.69,BR,1675707427
296,sorland,67.667,12.6934,281.07,92,100,16.82,NO,1675707699
297,yulara,-25.2406,130.9889,296.4,20,0,3.53,AU,1675707361
298,cordoba,-31.4135,-64.1811,310.61,26,0,3.09,AR,1675707449
299,carnarvon,-24.8667,113.6333,297.6,73,0,9.31,AU,1675707288
300,ujfeherto,47.8,21.6833,270.04,78,5,5.71,HU,1675707700
301,kenai,60.5544,-151.2583,270.98,93,100,2.06,US,1675707700
302,hualmay,-11.0964,-77.6139,297.61,74,95,2.73,PE,1675707700
303,chernyshevskiy,63.0128,112.4714,239.09,98,99,0.12,RU,1675707701
304,pozo colorado,-23.4923,-58.7972,309.72,30,100,1.74,PY,1675707702
305,luderitz,-26.6481,15.1594,292.48,83,11,6.39,NA,1675707380
306,glace bay,46.1969,-59.957,276.42,85,100,1.54,CA,1675707702
307,de aar,-30.6497,24.0123,300.81,29,73,4.08,ZA,1675707703
308,kortkeros,61.8106,51.5806,260.15,100,93,0.92,RU,1675707703
309,saint-augustin,51.226,-58.6502,259.57,68,100,3.91,CA,1675707477
310,port-cartier,50.0334,-66.8654,263.21,65,55,2.08,CA,1675707703
311,pitimbu,-7.4706,-34.8086,300.48,68,72,6.79,BR,1675707704
312,marsa matruh,31.3525,27.2453,284.81,64,94,6.59,EG,1675707704
313,pilot butte,50.4668,-104.4178,271.94,74,20,12.35,CA,1675707704
314,punta alta,-38.8759,-62.0736,301.36,44,0,9.4,AR,1675707705
315,murray bridge,-35.1167,139.2667,288.77,81,0,2.38,AU,1675707705
316,bonfim,3.0833,-59.95,300.51,62,97,1.5,BR,1675707705
317,svarychiv,48.9622,24.1966,264.71,97,100,1.78,UA,1675707706
318,maragogi,-9.0122,-35.2225,300.85,66,96,5.36,BR,1675707550
319,cherskiy,68.75,161.3,234.93,99,100,2.38,RU,1675707389
320,saint george,37.1041,-113.5841,281.07,68,0,4.63,US,1675706958
321,kaitangata,-46.2817,169.8464,284.19,86,4,2.65,NZ,1675707381
322,coremas,-7.0144,-37.9458,307.54,32,98,4.26,BR,1675707706
323,sola,-13.8833,167.55,300.51,73,87,2.41,VU,1675707437
324,bethel,41.3712,-73.414,283.39,56,100,4.63,US,1675707403
325,jizan,17.3333,42.6667,300.67,63,30,1.95,SA,1675707707
326,beyneu,45.3167,55.2,274.77,77,82,6.64,KZ,1675707446
327,isangel,-19.55,169.2667,299.39,84,89,2.4,VU,1675707541
328,itoman,26.1247,127.6694,294.16,88,100,5.14,JP,1675707498
329,luba,3.4568,8.5547,303.09,80,29,5.49,GQ,1675707707
330,scalea,39.813,15.7956,276.85,60,65,4.52,IT,1675707708
331,aurillac,44.9167,2.45,274.27,78,5,1.82,FR,1675707708
332,cienfuegos,22.1461,-80.4356,305.23,43,40,2.06,CU,1675707708
333,ambulu,-8.345,113.6058,297.46,87,100,2.03,ID,1675707709
334,bilma,18.6853,12.9164,294.89,12,76,4.6,NE,1675707299
335,ulladulla,-35.35,150.4667,291.7,94,100,3.31,AU,1675707709
336,baruun-urt,46.6806,113.2792,252.29,86,96,1.33,MN,1675707709
